i,j,x,process
81089,1022861,-0.720974184,bi
81089,741918,0.767539429,bi
81089,698517,0.630915241,bi
81089,561452,-0.648814991,bi
81089,New.ReferenceOTU32573,-0.698275501,bi
81089,539866,-0.609615196,bi
81089,707290,0.841021229,bi
81089,2161699,-0.689469597,bi
81089,651004,-0.61929981,bi
81089,512811,0.766300387,bi
81089,860553,-0.655820388,bi
81089,654742,0.73485122,bi
81089,245821,-0.632360026,bi
81089,541108,-0.71617765,bi
81089,256272,-0.657205568,bi
214128,508833,-0.603693694,bi
214128,761601,-0.633717501,bi
214128,1033426,0.707868916,bi
214128,225930,-0.616603771,bi
214128,637184,-0.64477858,bi
214128,707290,0.609369985,bi
214128,350334,-0.656945347,bi
214128,562177,-0.609276068,bi
214128,512811,0.624542761,bi
214128,858813,-0.631295954,bi
214128,141167,0.654481783,bi
223418,549954,0.689108125,bi
223418,946344,0.617872018,bi
223418,4444764,0.665564643,bi
225930,637184,0.602634468,bi
225930,350334,0.65153361,bi
237257,546694,-0.650853538,bi
237257,723142,0.625363702,bi
237257,214128,-0.60301879,bi
237257,508833,0.600640273,bi
237257,1033426,-0.618679492,bi
245821,4337868,0.706852599,bi
245821,256272,0.633378245,bi
245895,816631,0.697084493,bi
245895,1033426,-0.686882214,bi
245895,551647,0.696724824,bi
245895,548878,0.674279137,bi
245895,778795,0.746538161,bi
255750,360823,0.600954466,bi
255750,245821,0.651281826,bi
255750,4337868,0.702030012,bi
508833,245895,0.711961248,bi
508833,751555,0.618323758,bi
508833,816631,0.670228992,bi
508833,1033426,-0.665715005,bi
508833,225930,0.628537512,bi
508833,350334,0.633075477,bi
508833,360823,0.60160299,bi
508833,548878,0.640120366,bi
508833,778795,0.625803277,bi
512811,654742,0.678373813,bi
512811,541108,-0.611641884,bi
512811,256272,-0.604107576,bi
513602,81089,0.750123462,bi
513602,1022861,-0.665598214,bi
513602,546694,0.676124785,bi
513602,1044436,-0.629919585,bi
513602,698517,0.685048646,bi
513602,New.ReferenceOTU32573,-0.695639813,bi
513602,761601,-0.609552066,bi
513602,823439,-0.603808503,bi
513602,637184,-0.625908544,bi
513602,707290,0.743924961,bi
513602,2161699,-0.680146014,bi
513602,360823,-0.613673555,bi
513602,512811,0.657088929,bi
513602,860553,-0.620928382,bi
513602,654742,0.662903578,bi
513602,245821,-0.657136569,bi
513602,4337868,-0.637580086,bi
539866,651004,0.67681453,bi
539866,512811,-0.633109517,bi
539866,858813,0.632202236,ef
539866,860553,0.706561214,bi
539866,654742,-0.686396847,bi
539866,541108,0.64732359,bi
539866,256272,0.61326029,bi
546371,4444764,0.610408202,bi
546371,248170,0.611398513,bi
546694,214128,0.616574503,bi
546694,1033426,0.641227066,bi
546694,637184,-0.612919662,bi
548878,778795,0.607630346,bi
549954,546371,0.652721817,bi
