	long	lat
LX1	116.61064	37.287306
LX2	116.62508	37.305194
LX3	116.63364	37.329389
LX4	116.64892	37.267306
LX5	116.66328	37.283806
LX6	116.66628	37.305611
LX7	116.69033	37.263528
LX8	116.69789	37.282417
LX9	116.70292	37.300722
DZ1	115.00864	38.444389
DZ2	115.04842	38.440333
DZ3	115.07561	38.436
DZ4	115.07042	38.411056
DZ5	115.04747	38.410972
DZ6	115.01297	38.408583
DZ7	115.01239	38.388778
DZ8	115.04136	38.375306
DZ9	115.06178	38.37875
PD1	119.93744	36.688444
PD2	119.97747	36.689833
PD3	120.01272	36.69275
PD4	120.01489	36.662306
PD5	119.98097	36.664111
PD6	119.94208	36.665194
PD7	119.93831	36.618556
PD8	119.96789	36.630083
PD9	119.99864	36.626806
ZX1	114.82194	37.776972
ZX2	114.82444	37.800611
ZX3	114.86892	37.802361
ZX4	114.86875	37.782278
ZX5	114.88978	37.794056
ZX6	114.90217	37.804722
ZX7	114.87314	37.817611
ZX8	114.88997	37.822694
ZX9	114.82181	37.837639
GM1	119.6995	36.409528
GM2	119.69356	36.350722
GM3	119.68036	36.370361
GM4	119.67403	36.397028
GM5	119.66289	36.349333
GM6	119.65494	36.374611
GM7	119.62186	36.345917
GM8	119.62303	36.368389
GM9	119.62008	36.39375
YC1	115.88192	35.641333
YC2	115.91258	35.638417
YC3	115.86922	35.655417
YC4	115.89239	35.64925
YC5	115.86444	35.637111
YC6	115.89119	35.655472
YC7	115.94303	35.6365
YC8	115.94722	35.671
YC9	115.95233	35.692944
QH1	116.73717	36.769889
QH2	116.71781	36.772333
QH3	116.69206	36.771333
QH4	116.68481	36.734056
QH5	116.68511	36.714667
QH6	116.70964	36.696056
QH7	116.72483	36.704222
QH8	116.76253	36.751778
QH9	116.72372	36.732472
XY1	113.33808	34.830667
XY2	113.34478	34.857333
XY3	113.33506	34.888222
XY4	113.36731	34.886278
XY5	113.39847	34.892056
XY6	113.36819	34.857556
XY7	113.40367	34.862444
XY8	113.39844	34.830417
XY9	113.36744	34.833056
ZP1	117.72036	36.946083
ZP2	117.718	36.973222
ZP3	117.70169	37.014028
ZP4	117.67731	37.013583
ZP5	117.68717	36.946972
ZP6	117.68158	36.971361
ZP7	117.64978	36.949306
ZP8	117.63447	36.974194
ZP9	117.62922	36.999972
TC1	118.38378	34.781377
TC2	118.41374	34.781683
TC3	118.43649	34.770883
TC4	118.38072	34.753549
TC5	118.40035	34.748591
TC6	118.44878	34.74678
TC7	118.37649	34.724508
TC8	118.41129	34.720097
TC9	118.44307	34.717986
TZ1	116.9821	35.06384
TZ2	117.03047	35.058819
TZ3	117.07359	35.066779
TZ4	116.99903	35.041327
TZ5	117.03585	35.038192
TZ6	117.07481	35.039893
TZ7	116.99994	35.005172
TZ8	117.04059	35.003763
TZ9	117.07334	35.00309
CX1	115.68889	34.800675
CX2	115.73723	34.795961
CX3	115.77521	34.795184
CX4	115.69007	34.767687
CX5	115.72927	34.765082
CX6	115.78452	34.764747
CX7	115.68391	34.739468
CX8	115.7425	34.739556
CX9	115.77497	34.736613
XC1	115.00952	32.825227
XC2	115.06028	32.82936
XC3	115.10433	32.824902
XC4	115.00437	32.793247
XC5	115.07008	32.791517
XC6	115.10515	32.792112
XC7	114.99584	32.76783
XC8	115.05596	32.762052
XC9	115.10223	32.762385
ZC1	115.39986	34.09365
ZC2	115.45307	34.09416
ZC3	115.50031	34.089008
ZC4	115.40333	34.063117
ZC5	115.44982	34.060123
ZC6	115.49854	34.05782
ZC7	115.39672	34.033693
ZC8	115.45358	34.033633
ZC9	115.50319	34.035076
SZ1	117.25224	33.62096
SZ2	117.28797	33.620292
SZ3	117.31942	33.610275
SZ4	117.23886	33.593705
SZ5	117.2744	33.590166
SZ6	117.3073	33.581829
SZ7	117.23043	33.551978
SZ8	117.27539	33.562044
SZ9	117.30086	33.554348
DC1	115.27516	33.680356
DC2	115.32404	33.679654
DC3	115.35252	33.688131
DC4	115.27533	33.650906
DC5	115.32246	33.652277
DC6	115.35286	33.65298
DC7	115.29618	33.632386
DC8	115.31862	33.626237
DC9	115.35277	33.631826
TH1	115.50656	33.293469
TH2	115.56806	33.307649
TH3	115.60347	33.302332
TH4	115.50915	33.254069
TH5	115.56705	33.25602
TH6	115.60708	33.262306
TH7	115.50631	33.221051
TH8	115.56071	33.216847
TH9	115.62792	33.22595
GY1	116.11006	33.476038
GY2	116.1478	33.475874
GY3	116.1814	33.470592
GY4	116.11511	33.445105
GY5	116.14422	33.443934
GY6	116.17036	33.439222
GY7	116.09097	33.414335
GY8	116.13023	33.411537
GY9	116.16224	33.410155
FP1	109.23153	34.7437
FP2	109.24461	34.74934
FP3	109.27035	34.75237
FP4	109.28068	34.74991
FP5	109.28261	34.7371
FP6	109.27924	34.73014
FP7	109.26784	34.7126
FP8	109.25144	34.71255
FP9	109.23508	34.71016
HD1	111.59321	36.12315
HD2	111.63767	36.11423
HD3	111.66313	36.1079
