id	Phylum	Class
4479944	Actinobacteria	MB-A2-108
244331	Proteobacteria	Alphaproteobacteria
244336	Firmicutes	Bacilli
973124	Bacteroidetes	[Saprospirae]
4436710	Nitrospirae	Nitrospira
101767	Proteobacteria	Alphaproteobacteria
732878	Firmicutes	Bacilli
741867	Actinobacteria	Actinobacteria
217472	Acidobacteria	Acidobacteriia
623634	Acidobacteria	Solibacteres
590450	Firmicutes	Clostridia
1127173	Proteobacteria	Deltaproteobacteria
511344	Proteobacteria	Alphaproteobacteria
4298759	Bacteroidetes	Sphingobacteriia
511346	Bacteroidetes	[Saprospirae]
209233	Bacteroidetes	[Saprospirae]
1105507	Acidobacteria	DA052
710414	Actinobacteria	Thermoleophilia
245537	Proteobacteria	Gammaproteobacteria
4462654	Firmicutes	Clostridia
82193	Proteobacteria	Betaproteobacteria
4478898	Firmicutes	Clostridia
606189	Actinobacteria	Actinobacteria
308017	Bacteroidetes	[Saprospirae]
1033426	Actinobacteria	Actinobacteria
304543	Proteobacteria	Betaproteobacteria
817013	Actinobacteria	Actinobacteria
1765390	Proteobacteria	Alphaproteobacteria
580914	Bacteroidetes	[Saprospirae]
266040	Bacteroidetes	Flavobacteriia
900044	Actinobacteria	Actinobacteria
3482971	Gemmatimonadetes	Gemm-3
807854	Actinobacteria	Acidimicrobiia
460604	Proteobacteria	Alphaproteobacteria
894654	Proteobacteria	Gammaproteobacteria
608919	Proteobacteria	Deltaproteobacteria
198952	Cyanobacteria	Nostocophycideae
1143515	Actinobacteria	Actinobacteria
4454531	Proteobacteria	Gammaproteobacteria
776288	Proteobacteria	Deltaproteobacteria
535429	Proteobacteria	Alphaproteobacteria
697990	Actinobacteria	MB-A2-108
575241	Proteobacteria	Alphaproteobacteria
165827	Proteobacteria	Alphaproteobacteria
510765	Proteobacteria	Deltaproteobacteria
791123	Actinobacteria	Acidimicrobiia
766563	Firmicutes	Bacilli
1146490	Acidobacteria	Acidobacteriia
4362775	Proteobacteria	Alphaproteobacteria
4433032	Planctomycetes	Planctomycetia
576641	Firmicutes	Bacilli
4335437	Actinobacteria	Thermoleophilia
842284	Proteobacteria	Gammaproteobacteria
237898	Actinobacteria	Actinobacteria
678627	Proteobacteria	Alphaproteobacteria
4440262	Proteobacteria	Betaproteobacteria
105000	Gemmatimonadetes	Gemmatimonadetes
259049	Proteobacteria	Alphaproteobacteria
245821	Proteobacteria	Deltaproteobacteria
514449	Proteobacteria	Gammaproteobacteria
583939	Bacteroidetes	Sphingobacteriia
105008	Proteobacteria	Gammaproteobacteria
259044	Proteobacteria	Deltaproteobacteria
4315620	Gemmatimonadetes	Gemm-5
227239	Proteobacteria	Alphaproteobacteria
4337722	Armatimonadetes	0319-6E2
1108393	Armatimonadetes	Armatimonadia
4315994	Chloroflexi	Anaerolineae
4337729	Chloroflexi	TK17
586374	Acidobacteria	Acidobacteria-6
754396	Proteobacteria	Betaproteobacteria
549754	Actinobacteria	Actinobacteria
1909053	Acidobacteria	Solibacteres
10708	Proteobacteria	Deltaproteobacteria
104710	Firmicutes	Clostridia
221964	Acidobacteria	Acidobacteriia
537635	Chlorobi	NA
113577	Proteobacteria	Betaproteobacteria
836228	Planctomycetes	Planctomycetia
328081	Actinobacteria	Actinobacteria
582187	Actinobacteria	Thermoleophilia
113573	Proteobacteria	Alphaproteobacteria
149147	Proteobacteria	Deltaproteobacteria
149144	Spirochaetes	Spirochaetes
583850	Proteobacteria	Betaproteobacteria
1088815	Cyanobacteria	ML635J-21
554377	Actinobacteria	Actinobacteria
818562	Proteobacteria	Alphaproteobacteria
614969	Proteobacteria	Betaproteobacteria
4299150	Verrucomicrobia	Opitutae
346995	Verrucomicrobia	Opitutae
138381	Proteobacteria	Alphaproteobacteria
